"SEMESTRE","UE","CODE","Matiere","shortName","Enseignant.e"
1,"UE 1 : Stages de mise à niveau","H5I40119","Logiciels de cartographie","MaN Illustrator","Marie Jolivet et Aurélie Boissière"
1,"UE 1 : Stages de mise à niveau","H5I40119","Logiciels de cartographie","MaN Carto","Olivier Finance"
1,"UE 1 : Stages de mise à niveau","H5I40319","Logiciels de statistiques et d'analyse spatiale","MaN R","Hadrien Commenges"
1,"UE 1 : Stages de mise à niveau","H5I40519","Analyse des données","MaN AnaDon","Mattia Bunel"
1,"UE 2 :  Bases de données et interopérabilité","H5I40719","Bases de données spatiales","ArcGIS-Auto","GeoData"
1,"UE 2 :  Bases de données et interopérabilité","H5I40719","Bases de données spatiales","BD Spatiales","GeoData"
1,"UE 2 :  Bases de données et interopérabilité","H5I40919","Normalisation et interopérabilité","Normes & Métadonnées","GeoData"
1,"UE 2 :  Bases de données et interopérabilité","H5I41125 ","Transformations automatisées (FME)","FME","GeoData"
1,"UE 2 :  Bases de données et interopérabilité","H5I41125 ","Transformations automatisées (FME)","Evals FME","GeoData"
1,"UE 3 : SIG et développements informatiques","H5I41319","Initiation à la programmation (algorithmie)","AlgoPy","GeoData"
1,"UE 3 : SIG et développements informatiques","H5I41519","Développements sous SIG","Info & SIG","GeoData"
1,"UE 4 : Analyse spatiale","H5I20925 ","Stage d'analyse de données avec R","Stage AnaSpa","Hadrien Commenges, Pierre Pistre et Olivier Finance"
1,"UE 4 : Analyse spatiale","H5G43515","Analyse spatiale et statistiques","AnaSpa Stats HC","Hadrien Commenges"
1,"UE 4 : Analyse spatiale","H5G43515","Analyse spatiale et statistiques","AnaSpa Stats RC","Robin Cura"
1,"UE 4 : Analyse spatiale","H5G43715","Analyse spatiale et SIG","AnaSpa SIG RC","Robin Cura"
1,"UE 4 : Analyse spatiale","H5G43715","Analyse spatiale et SIG","AnaSpa SIG JM","Juliette Morel"
1,"UE 5 : Cartographie","H5I41725 ","Séminaire Histoire et pratique de la cartographie","HiC 1","Emmanuelle Vagnon-Chureau"
1,"UE 5 : Cartographie","H5I41725 ","Séminaire Histoire et pratique de la cartographie","HiC 2","Emmanuelle Vagnon-Chureau"
1,"UE 5 : Cartographie","H5I41725 ","Séminaire Histoire et pratique de la cartographie","HiC 5","Eve Netchine"
1,"UE 5 : Cartographie","H5I41725 ","Séminaire Histoire et pratique de la cartographie","HiC 4 BNF","Olivier Loiseaux"
1,"UE 5 : Cartographie","H5I41725 ","Séminaire Histoire et pratique de la cartographie","HiC 3","Françoise Bahoken"
1,"UE 5 : Cartographie","H5I41725 ","Séminaire Histoire et pratique de la cartographie","HiC 6","Nicolas Lambert"
1,"UE 5 : Cartographie","H5I41919","Sémiologie graphique statique et dynamique","Spectacle ""Carto!""","Olivier Finance"
1,"UE 5 : Cartographie","H5I41919","Sémiologie graphique statique et dynamique","Carto OF","Olivier Finance"
1,"UE 5 : Cartographie","H5I41919","Sémiologie graphique statique et dynamique","Carto MJ","Marie Jolivet"
1,"UE 5 : Cartographie","H5I41919","Sémiologie graphique statique et dynamique","CartoDyn OF","Olivier Finance"
1,"UE 5 : Cartographie","H5I41919","Sémiologie graphique statique et dynamique","CartoDyn MJ","Marie Jolivet"
1,"UE 5 : Cartographie","H5I41919","Sémiologie graphique statique et dynamique","CartoDyn JM","Juliette Morel"
1,"UE 6 : Géomatique : Recherche et applications","H5I21715 ","Séminaire de recherche : Approches thématiques ","Séminaire Recherche","Marie Gibert"
1,"UE 6 : Géomatique : Recherche et applications","H5I42319","Rencontres métiers - BILINGUE","RencM 1","Henry Ciesielski"
1,"UE 6 : Géomatique : Recherche et applications","H5I42319","Rencontres métiers - BILINGUE","RencM 2","Logan Savage"
1,"UE 6 : Géomatique : Recherche et applications","H5I42319","Rencontres métiers - BILINGUE","RencM 3","Guilhain Averlant"
1,"UE 6 : Géomatique : Recherche et applications","H5I42319","Rencontres métiers - BILINGUE","RencM 4","Maeve de France"
1,"UE 6 : Géomatique : Recherche et applications","H5I42319","Rencontres métiers - BILINGUE","RencM 5","Ghislaine Convers"
1,"UE 6 : Géomatique : Recherche et applications","H5I42319","Rencontres métiers - BILINGUE","RencM 6","Anne Lacambre"
1,"UE 6 : Géomatique : Recherche et applications","H5I42119","Répondre à un appel d'offre","AO","Marie Jolivet"
2,"UE 1 : Projets cartographiques","H5G40215","Projet de cartographie éditoriale - BILINGUE","Projet Plaquette","Olivier Finance"
2,"UE 1 : Projets cartographiques","H5G40215","Projet de cartographie éditoriale - BILINGUE","Plaquette Anglais","Olivier Finance"
2,"UE 1 : Projets cartographiques","H5G40615","Projet transversal d'analyse spatiale","Projet Transversal","Robin Cura et Juliette Morel"
2,"UE 2 :  Géovisualisation","H5I40419","Introduction aux langages du Web","CartoWeb 1","GeoData"
2,"UE 2 :  Géovisualisation","H5I40819","Principes de géovisualisation","GéoViz","GeoData"
2,"UE 2 :  Géovisualisation","H5I41019","Diffusion cartographique sur Internet (webmapping)","CartoWeb 2","GeoData"
1,"Hors Maquette","Hors Maquette","Journée du Bureau d’Aide à l’Insertion Professionnelle","BAIP","Robin Cura"
1,"Hors Maquette","Hors Maquette","Rentrée","Rentrée","Tou.te.s"
1,"Hors Maquette","Hors Maquette","Soutenances M2 2025/2026","Soutenances M2","Tou.te.s"
2,"Hors Maquette","Hors Maquette","Bilan année 2026/2027","Bilan année","Tou.te.s"
1,"UE 5 : Cartographie","H5I41919","Sémiologie graphique statique et dynamique","Atelier Cartographie Experimentale","Olivier Finance"
1,"Hors Maquette","Hors Maquette","Accueil GeoData Paris","Accueil GeoData","GeoData"
2,"Hors Maquette","Hors Maquette","République des Cartes","République des Cartes","GeoData"
